OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
2316,50089168,DUNKIN,75 CHRISTOPHER STREET,"New York, NY 10014",Manhattan,American 
2319,50089252,Dunkin,1571 YORK AVENUE,"New York, NY 10028",Manhattan,Donuts
2322,50095294,DUNKIN,693 9 AVENUE,"New York, NY 10036",Manhattan,Donuts
2324,50067514,ED'S ELBOW ROOM,308 EAST   78 STREET,"New York, NY 10075",Manhattan,American 
2327,50131861,EFFY'S CAFE,104 WEST   96 STREET,"New York, NY 10025",Manhattan,Jewish/Kosher
2331,50121055,FIGO,178 MULBERRY STREET,"New York, NY 10012",Manhattan,Frozen Desserts
2332,50116602,FRESH STOP,326 AUDUBON AVENUE,"New York, NY 10033",Manhattan,"Juice, Smoothies, Fruit Salads"
2335,50118800,FIL\xc9 GUMBO BAR,275 CHURCH STREET,"New York, NY 10013",Manhattan,Creole/Cajun
2337,50113695,DUNKIN',102 8 AVENUE,"New York, NY 10011",Manhattan,Donuts
2344,50118006,DUNKIN,266 1 AVENUE,"New York, NY 10009",Manhattan,Donuts
2345,50091156,FREVO,48 WEST    8 STREET,"New York, NY 10011",Manhattan,French
2350,50130551,DUNKIN,250 EAST HOUSTON STREET,"New York, NY 10002",Manhattan,Coffee/Tea
2351,50128808,FIVE ACRES,30 ROCKEFELLER PLAZA,"New York, NY 10112",Manhattan,American 
2357,50107752,FIVE IRON GOLF,883 AVENUE OF THE AMERICAS,"New York, NY 10001",Manhattan,American 
2359,50110453,DUNKIN DONUTS,109 DYCKMAN STREET,"New York, NY 10040",Manhattan,Donuts
2365,50109807,DUNKIN',1602 2 AVENUE,"New York, NY 10028",Manhattan,Donuts
2367,50109050,Fulltank Moto Cafe,49 MONROE STREET,"New York, NY 10002",Manhattan,Other
