,lon,short_name,region_id,capacity,station_id,name,lat,rental_uris.android,rental_uris.ios,geometry,index_right,zone
2112,-73.939326,8119.05,71,21,c6c10756-ef41-491a-8e6c-ee0aa27b8cbe,W 159 St & Edgecombe Ave,40.833303,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.939326 40.833303),1605,Washington Heights South
2114,-73.937496,8153.10,71,19,36aaebb9-ef10-41a5-b20b-753bf8a3fed8,W 163 St & Edgecombe Ave,40.835798,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.937496 40.835798),1605,Washington Heights South
2116,-74.00559738278389,5024.10,71,79,89d4a926-f1ae-4bf2-bf2d-59cff3881579,Water St & Fletcher St,40.706410755236135,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00559738278389 40.706410755236135),479,Financial District North
2120,-73.97757,7484.05,71,47,66dde271-0aca-11e7-82f6-3863bb44ef7c,W 87 St & West End Ave,40.789622,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97757 40.789622),1492,Upper West Side North
2125,-73.99404649,5755.01,71,27,66db9675-0aca-11e7-82f6-3863bb44ef7c,Washington Pl & Broadway,40.72903917,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99404649 40.72903917),591,Greenwich Village North
2126,-73.98303529,6206.08,71,65,66dc8d1d-0aca-11e7-82f6-3863bb44ef7c,E 30 St & Park Ave S,40.74444921,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98303529 40.74444921),1123,Murray Hill
2127,-73.974235,6659.10,71,37,70634bc4-4d90-42d4-8f6a-3f29fa8f7f77,E 50 St & Park Ave,40.757334,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.974235 40.757334),1012,Midtown Center
2128,-73.96784384,6498.09,71,70,66dc7e75-0aca-11e7-82f6-3863bb44ef7c,E 47 St & 1 Ave,40.75206862,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.96784384 40.75206862),1390,UN/Turtle Bay South
2129,-74.0103006362915,5470.12,71,29,c1e24edf-7192-433f-8d38-be5b6b3647c5,North Moore St & Greenwich St,40.72019521437465,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.0103006362915 40.72019521437465),1320,TriBeCa/Civic Center
2130,-74.000472,5644.05,71,50,af72781c-fe0b-4b73-a7df-201f9780ea9c,W Broadway & W Houston St,40.726378,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.000472 40.726378),1253,SoHo
